Ticker,phone,longBusinessSummary,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,navPrice,currency,category,ytdReturn,fundFamily,fundInceptionDate,legalType,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,trailingPegRatio,address1,address2,city,state,zip,country,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,companyOfficers,compensationAsOfEpochDate,marketCap,sharesOutstanding,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,trailingEps,lastSplitFactor,lastSplitDate,52WeekChange,SandP52WeekChange,currentPrice,recommendationKey,financialCurrency,fullTimeEmployees,exDividendDate,priceToSalesTrailing12Months,enterpriseValue,floatShares,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,shortRatio,shortPercentOfFloat,netIncomeToCommon,enterpriseToRevenue,lastDividendValue,lastDividendDate,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,grossProfits,operatingCashflow,revenueGrowth,operatingMargins,fax,profitMargins,enterpriseToEbitda,ebitda,returnOnAssets,returnOnEquity,freeCashflow,grossMargins,ebitdaMargins,beta,yield,beta3Year,threeYearAverageReturn,fiveYearAverageReturn,dividendRate,dividendYield,payoutRatio,trailingAnnualDividendRate,trailingAnnualDividendYield,irWebsite,fiveYearAvgDividendYield,forwardPE,forwardEps,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,numberOfAnalystOpinions,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,earningsQuarterlyGrowth,earningsGrowth
DUKQ,631-470-2600,"The fund is an actively managed ETF that seeks to achieve its investment objective by tactically allocating the fund’s assets between unaffiliated U.S. equity ETFs (“Underlying ETFs”) and cash equivalents. Under normal market conditions, the advisor expects to invest substantially all of its assets in underlying ETFs.",86400,2,27.35,27.36,27.29,27.52,27.35,27.36,27.29,27.52,24.190481,3720,3720,8732,5880,5880,13.74,41.2,2200,2200,9297930,23.691,28.1,27.29148,26.27407,27.66,USD,Large Blend,0.0417013,Ocean Park ETF,1720569600,Exchange Traded Fund,PCX,ETF,DUKQ,DUKQ,Northern Lights Fund Trust Ocea,Ocean Park Domestic ETF,1720704600,America/New_York,EST,45744775-ad42-39b5-8817-883771f57520,finmb_1879271267,-18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCOB,877 785 8550,"1st Colonial Bancorp, Inc. operates as the bank holding company for 1st Colonial Community Bank that provides a range of business and consumer financial services in New Jersey. The company offers various deposit products, including savings accounts, money market accounts, certificates of deposit, club accounts, and business and personal checking accounts. It also provides home equity loans, home equity lines of credit, personal and vehicle loans, residential and commercial mortgages, construction loans, business lines of credit, equipment and vehicle financing, real estate loans, working capital line of credit, and business acquisition loans, as well as small business administration loans. In addition, the company offers cash management services comprising remote deposit capture, ACH/wire transfer, night deposit drop, and merchant services; safe deposit boxes; and coin counting, online and mobile banking, debit card, and ATM services. The company was founded in 2000 and is headquartered in Mount Laurel, New Jersey.",86400,2,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,8.418079,200,200,3972,12270,12270,14.85,14.99,40000,40000,,13.09,16,14.7346,15.16465,,USD,,,,,,PNK,EQUITY,FCOB,FCOB,"1st Colonial Bancorp, Inc.","1st Colonial Bancorp, Inc.",965309400,America/New_York,EST,66c5572f-419f-33f9-a89a-88e810feb1d9,finmb_3569393,-18000000,,1000 Atrium Way,Suite 200,Mount Laurel,NJ,8054,United States,https://www.1stcolonial.com,Banks - Regional,banks-regional,Banks - Regional,Financial Services,financial-services,Financial Services,"[{'maxAge': 1, 'name': 'Mr. Robert B. White', 'age': 58, 'title': 'President, CEO & Director', 'yearBorn': 1966, 'fiscalYear': 2023, 'totalPay': 452571, 'exercisedValue': 0, 'unexercisedValue': 34950}, {'maxAge': 1, 'name': 'Ms. Mary Kay Shea', 'age': 54, 'title': 'Executive VP, CFO & Secretary', 'yearBorn': 1970, 'fiscalYear': 2023, 'totalPay': 336365, 'exercisedValue': 0, 'unexercisedValue': 43303}]",1703980800,70737448,4747480,0.05762,4845700,15.601,0.955067,1735603200,1767139200,1735603200,1.77,105:100,1522281600,0.13653696,0.2000997,14.9,none,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCNX,800 261 0281,"Scienture Holdings, Inc. operates as health services IT company. It offers an online web-based buying and selling platform for licensed pharmaceutical wholesalers to sell brand, generic, and non-drug products and services to government organizations, hospitals, clinics, and independent pharmacies. Scienture Holdings, Inc. is headquartered in Tampa, Florida.",86400,4,3.56,3.5951,3.5951,3.5951,3.56,3.5951,3.5951,3.5951,,1675,1675,10633,11420,11420,3.81,,100,,,3.48,44.56,6.2537,7.907715,,USD,,,,,,NCM,EQUITY,SCNX,SCNX,"Scienture Holdings, Inc.","Scienture Holdings, Inc.",1391697000,America/New_York,EST,a3e62ef9-f470-3aef-98b3-d1bfe7dbe6bf,finmb_698186627,-18000000,,6308 Benjamin Rd,Suite 708,Tampa,FL,33634,United States,https://scienture.com,Pharmaceutical Retailers,pharmaceutical-retailers,Pharmaceutical Retailers,Healthcare,healthcare,Healthcare,"[{'maxAge': 1, 'name': 'Mr. Surendra K. Ajjarapu', 'age': 53, 'title': 'Chairman of the Board, CEO and Secretary', 'yearBorn': 1971, 'fiscalYear': 2024, 'totalPay': 545077, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Prashant  Patel R.Ph.', 'age': 49, 'title': 'Interim CFO, President & COO', 'yearBorn': 1975, 'fiscalYear': 2024, 'totalPay': 332962, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Rahul  Surana M.B.A., Ph.D.', 'title': 'Executive VP & COO of Scienture LLC', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]",1735603200,30937166,8605370,0.01222,8605370,9.893,0.36339837,1703980800,1735603200,1727654400,-20.22,1:15,1687392000,-0.1292699,0.2000997,3.5951,none,USD,14,1721347200,-87.98766,32725042,7846115,11579,8594,1734048000,1736899200,0.0013,0.51787996,1.07,0.0026,-10253641,-93.073,1.5,1721347200,579103,0.067,2755096,0.941,1.34,-351608,3.236,-0.062,640190,-12345904,-0.835,-53.92749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPAA,,,86400,2,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,,2706,2706,60098,8370,8370,10.03,10,9000,500,,9.66,10.12,10.04384,10.007619,,USD,,,,,,NGM,EQUITY,LPAA,LPAA,Launch One Acquisition Corp.,Launch One Acquisition Corp.,1725370200,America/New_York,EST,cc10c911-25cd-38c2-b7c2-87d15770103f,finmb_1875168341,-18000000,,,,,,,,,,,,,,,,,290375008,,,,,,,,,,,,,,10.1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGLD,949 429 5370,"The Marygold Companies, Inc., through its subsidiaries, provides fund management and financial services, beauty and food products, and security alarm systems in the United States, the United Kingdom, New Zealand, Australia, and Canada. The company operates as an investment advisor to exchange traded funds organized as limited partnerships or investment trusts. It also manufactures, distributes, and sells wholesale bakery products, meat pies, and patisserie cakes and slices under the Ponsonby Pies and Pats Pantry brands to groceries, gasoline convenience stores, and independent retailers and cafes; prints specialty wrappers for the food industry; and sells and installs commercial and residential alarm monitoring systems under the Brigadier Security Systems and Elite Security brands. In addition, the company formulates, packages, and distributes hair and skin care products under the Original Sprout brand to end users, international retailers and wholesalers, and retail stores, as well as through online; develops Fintech mobile app; and operates as an asset manager. The company was formerly known as Concierge Technologies, Inc. and changed its name to The Marygold Companies Inc. in March 2022. The Marygold Companies Inc. was founded in 1996 and is headquartered in San Clemente, California.",86400,4,1.05,1.05,1.011,1.1,1.05,1.05,1.011,1.1,,24438,24438,25967,78670,78670,1.02,1.07,800,900,,0.781,2.1,1.53266,1.37842,,USD,,,,,,ASE,EQUITY,MGLD,MGLD,"The Marygold Companies, Inc.","The Marygold Companies, Inc.",1647264600,America/New_York,EST,f3a4728d-3d7a-3b47-9c5e-57a41e1929c2,finmb_324407470,-18000000,,120 Calle Iglesia,Unit B,San Clemente,CA,92672,United States,https://themarygoldcompanies.com,Asset Management,asset-management,Asset Management,Financial Services,financial-services,Financial Services,"[{'maxAge': 1, 'name': 'Mr. Nicholas Daniel Gerber', 'age': 62, 'title': 'Chairman, CEO & President', 'yearBorn': 1962, 'fiscalYear': 2024, 'totalPay': 400000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David Wayne Neibert', 'age': 69, 'title': 'COO, Secretary & Director', 'yearBorn': 1955, 'fiscalYear': 2024, 'totalPay': 425000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Carolyn Marie Yu', 'age': 65, 'title': 'Chief Legal Officer & Chief Continuity Officer', 'yearBorn': 1959, 'fiscalYear': 2024, 'totalPay': 425000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Scott Allen West', 'age': 55, 'title': 'Chief Accounting Officer', 'yearBorn': 1969, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Kathryn D. Rooney', 'age': 52, 'title': 'Chief Communications Officer', 'yearBorn': 1972, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Ian  Gass', 'title': 'Chief Product Officer - UK', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. John Parish Love CFA', 'age': 52, 'title': 'Chief Executive Officer of USCF', 'yearBorn': 1972, 'fiscalYear': 2024, 'totalPay': 562500, 'exercisedValue': 0, 'unexercisedValue': 0}]",1735603200,47547500,42237800,0.00413,43225000,0.633,1.7377567,1719705600,1751241600,1727654400,-0.13,,,0.11458337,0.2000997,1.1,none,USD,116,,1.462505,30227336,9056824,66782,24072,1734048000,1736899200,0.0016,0.76592004,2.65,0.0055,-5056000,0.93,,,17472000,0.433,5357000,2.537,3.175,32511000,20.982,0.823,23700000,-3095000,-0.04,-0.27434,888 312 0124,-0.15856,-4.445,-6800000,-0.12949,-0.18607001,-3748361,0.72898,-0.20916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFFF,604 609 6185,"Li-FT Power Ltd., a mineral exploration company, engages in the acquisition, exploration, and development of lithium pegmatite projects in Canada. Its flagship property is the 100% owned Yellowknife Lithium Project located in Northwest Territories, Canada. It also holds interest in DeStaffany, LDG, and Mackay Lithium projects which is located in the Northwest Territories, Canada. Li-FT Power Ltd. was incorporated in 2021 and is headquartered in Vancouver, Canada.",86400,4,2.08,2.09,2.08,2.09,2.08,2.09,2.08,2.09,21.17,4045,4045,10928,4110,4110,2.08,2.16,40000,40000,,1.449,3.102,2.00564,2.0940769,,USD,,,,,,OQX,EQUITY,LIFFF,LIFFF,Li-Ft Power Ltd.,Li-FT Power Ltd.,1723728600,America/New_York,EST,897745b6-e82f-368c-83f4-26c71955d015,finmb_1763135444,-18000000,,1218-1030 West Georgia Street,,Vancouver,BC,,Canada,https://www.li-ft.com,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"[{'maxAge': 1, 'name': 'Mr. Leonard Francis MacDonald B.Sc.', 'age': 38, 'title': 'CEO & Director', 'yearBorn': 1986, 'fiscalYear': 2023, 'totalPay': 147339, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Alexander  Langer', 'age': 38, 'title': 'President & Director', 'yearBorn': 1986, 'fiscalYear': 2023, 'totalPay': 13750, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Andrew  Marshall BA(Hons), C.A., C.F.A.', 'age': 44, 'title': 'Chief Financial Officer', 'yearBorn': 1980, 'fiscalYear': 2023, 'totalPay': 55002, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David  Smithson', 'age': 46, 'title': 'Senior Vice President of Geology', 'yearBorn': 1978, 'fiscalYear': 2023, 'totalPay': 139842, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Daniel  Gordon', 'title': 'Investor Relations Manager', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. April  Hayward Ph.D.', 'title': 'Chief Sustainability Officer', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Iveta  Michelcikova', 'title': 'Corporate Secretary', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]",1703980800,100237840,47085300,0.05697,47349000,5.838,0.36262423,1701302400,1732924800,1725062400,0.1,,,0.41873276,0.2000997,2.117,none,CAD,2,,,88343880,41286439,,,,,,0.029690001,,,-6528000,,,,2295000,0.054,147000,0.731,1.122,,0.059,,,-7801000,,,,,,,-0.00974,-0.02676,-26902750,,,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEMS,,The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure the performance of equity securities of small-capitalization companies in emerging market countries.,86400,2,56.2,56.88,56.94,57.21,56.2,56.88,56.94,57.21,12.464112,19888,19888,24571,22630,22630,53.81,60.31,1000,800,333096448,55.4,64.44,58.6288,60.51945,57.64553,USD,Diversified Emerging Mkts,-0.0115239,iShares,1313452800,Exchange Traded Fund,PCX,ETF,EEMS,EEMS,iShares MSCI Emerging Markets S,iShares MSCI Emerging Markets Small-Cap ETF,1313674200,America/New_York,EST,c8ec40ff-5160-3e88-a194-deec18da6808,finmb_139511718,-18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025799999,0.86,0.0206658,0.0732966,,,,,,,,,,,,,,,,,,,,,,,
WRSLF,61 8 6182 1478,"Winsome Resources Limited, together with its subsidiaries, engages in the exploration and development of lithium properties in Canada. Its flagship property is the 100% owned Adina Lithium project. The company was incorporated in 2021 and is based in West Perth, Australia.",86400,4,0.3121,0.3121,0.3121,0.3121,0.3121,0.3121,0.3121,0.3121,,7231,7231,4889,,,0.2534,0.3334,,,,0.2292,0.9868,0.287084,0.4462353,,USD,,,,,,OQB,EQUITY,WRSLF,WRSLF,Winsome Resources Ltd.,Winsome Resources Limited,1671633000,America/New_York,EST,02b153fa-4af4-3f0e-bb75-6bf8512472de,finmb_707986596,-18000000,,16 Ord Street,Level 1,West Perth,WA,6005,Australia,https://winsomeresources.com.au,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"[{'maxAge': 1, 'name': 'Mr. Christopher Allan Evans', 'title': 'CEO, MD & Executive Director', 'fiscalYear': 2024, 'totalPay': 311189, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Peter Richard Youd AICA, AICD, BBus(ACCT.), FAICS', 'age': 68, 'title': 'Company Secretary & CFO', 'yearBorn': 1956, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Nicolas  Bolduc', 'title': 'Vice President of Human Resources', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Genevieve  Morinville', 'title': 'Vice President of Sustainability & Regulatory Affairs', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Simon  Iacopetta BCom, CA, GCertAppFin', 'title': 'Executive Director of Development & Finance and Director', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Antoine  Fournier M.Sc., P. Geo.', 'title': 'Vice President of Exploration', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]",1735603200,69250616,221886000,0.15774,222880000,0.468,0.6668803,1719705600,1751241600,1719705600,-0.02,,,-0.22728395,0.2000997,0.3121,none,AUD,,,,22093280,147027208,,,,,,0.16299,,,-4872007,,,,45424620,0.21,,3.771,4.19,,,,,-10324385,,,61 1 3004 1491,,-1.057,-20907212,-0.12548,-0.057389997,-49527784,,,2.332,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUTKY,358 9 4211,"Outokumpu Oyj produces and sells various stainless steel products in Finland, other European countries, North America, the Asia-Pacific, and internationally. The company operates through three segments: Europe, Americas, and Ferrochrome. It offers cold rolled coils, strips, and sheets; hot rolled coils, strips, and plates; quarto plates; precision strips; and specialized components, such as welded stainless-steel I-beams, H-beams, hollow-section tubes, bent profiles, structural sections, hardened and customized press plates, suction roll shells, and blancs and disks. The company also provides stainless steel powder which includes Supra 316L, Dura 17-4PH, Ultra 904L, Therma 253MA, Dura 4116, and Ni-free austenitic stainless steel powder; and nickel-based alloys. Its products are used in various applications, including commercial kitchen, cooking, food industry, and home appliances; automotive and transportation; building and infrastructure; energy; marine; and heavy industries. The company was founded in 1910 and is headquartered in Helsinki, Finland.",86400,4,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,,200,200,900,870,870,1.48,1.65,,,,1.37,2.35,1.5224,1.7699,,USD,,,,,,PNK,EQUITY,OUTKY,OUTKY,Outokumpu OYJ,Outokumpu Oyj,1328625000,America/New_York,EST,e1d83ad2-6ad0-3b84-9746-5cb41914c3f0,finmb_874536,-18000000,,Salmisaarenranta 11,,Helsinki,,180,Finland,https://www.outokumpu.com,Steel,steel,Steel,Basic Materials,basic-materials,Basic Materials,"[{'maxAge': 1, 'name': 'Ms. Kati ter Horst M.B.A., M.Sc.', 'age': 56, 'title': 'President & CEO', 'yearBorn': 1968, 'fiscalYear': 2023, 'totalPay': 124639, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Marc-Simon  Schaar', 'age': 48, 'title': 'Chief Financial Officer', 'yearBorn': 1976, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Stefan  Erdmann M.Sc.', 'age': 52, 'title': 'CTO & Group Sustainability Officer', 'yearBorn': 1972, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Linda  Hakkila', 'title': 'Head of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Anna-Maija  Heinonen', 'title': 'Head of Compliance', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Juhani  Ristaniemi', 'title': 'Executive VP & General Counsel', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Johann  Steiner M.Sc., M.Sc. (Econ.)', 'age': 58, 'title': 'Executive Vice President of Sustainability, Strategy & People', 'yearBorn': 1966, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Matti  Louhija', 'title': 'Head of M&A', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Tamara  Weinert M.B.A., M.Sc.', 'age': 59, 'title': 'President of Business Area Americas', 'yearBorn': 1965, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Pekka  Pajamo M.Sc., M.Sc. (Econ.)', 'age': 62, 'title': 'Chief Financial Officer of Varma Mutual Pension Insurance Company', 'yearBorn': 1962, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]",1703980800,1350145408,847371008,,894136000,8.558,0.1764431,1703980800,1735603200,1727654400,-0.3,1:25,1403481600,-0.28436017,0.2000997,1.51,none,EUR,8436,1712275200,0.22312766,851765312,345074997,,,,,,,,,-250000000,0.141,0.141,1712275200,241000000,0.569,453000000,0.505,1.539,6050999808,12.493,7.091,276000000,270000000,-0.008,0.02042,,-0.04132,5.717,149000000,-0.00368,-0.06442,173000000,0.04561,0.024619998,1.235,,,,,0.14,0.091400005,0.3784,0.26,0.17218542,,,,,,,,,,,,,,,,,,
BFIT,+1 8884938631,The fund invests more than 80% of its total assets in the securities of the underlying index and in ADRs and GDRs based on the securities in the underlying index. The underlying index is designed to provide exposure to exchange-listed companies in developed markets that provide products and services that facilitate physical wellness through active and healthy lifestyles.,86400,2,21.39,21.51,21.39,21.51,21.39,21.51,21.39,21.51,17.268147,1119,1119,1284,1141,1141,,,1000,1100,,19.92,23.51,21.879133,21.858004,21.53,USD,Global Small/Mid Stock,-0.0535398,Global X Funds,1462752000,Exchange Traded Fund,NGM,ETF,BFIT,BFIT,Global X Health & Wellness ETF,Global X Health & Wellness ETF,1462800600,America/New_York,EST,132e1c64-1868-3cd5-b638-f1ed5b1cbce6,finmb_334554986,-18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0165,1.05,-0.0627661,0.0290242,,,,,,,,,,,,,,,,,,,,,,,
